Time,Extension,Load
(s),(mm),(N)
0.00000,0.00000,-0.00137
0.10000,0.04479,0.02647
0.20000,0.15477,-0.00021
0.30000,0.25549,0.00332
0.40000,0.35502,-0.00120
0.50000,0.45533,-0.00001
0.60000,0.55562,-0.00141
0.70000,0.65523,0.00028
0.80000,0.75552,-0.00018
0.90000,0.85616,-0.00388
1.00000,0.95500,-0.00143
1.10000,1.05537,0.00338
1.20000,1.15561,0.00030
1.30000,1.25539,0.00154
1.40000,1.35528,-0.00442
1.50000,1.45556,0.00246
1.60000,1.55551,0.00607
1.70000,1.65521,0.00072
1.80000,1.75549,0.00070
1.90000,1.85573,-0.00161
2.00000,1.95543,-0.00079
2.10000,2.05551,-0.00033
2.20000,2.15605,-0.00258
2.30000,2.25481,0.00279
2.40000,2.35523,0.00170
2.50000,2.45598,-0.00111
2.60000,2.55538,-0.00046
2.70000,2.65536,0.02661
2.80000,2.75569,0.27863
2.90000,2.85516,0.47346
3.00000,2.95524,0.60207
3.10000,3.05549,0.67915
3.20000,3.15571,0.82362
3.30000,3.25548,0.86715
3.40000,3.35529,0.97007
3.50000,3.45583,1.06297
3.60000,3.55484,1.17128
3.70000,3.65497,1.30031
3.80000,3.75602,1.36318
3.90000,3.85532,1.38078
4.00000,3.95505,1.39880
4.10000,4.05572,1.51984
4.20000,4.15533,1.62578
4.30000,4.25513,1.65337
4.40000,4.35542,1.69306
4.50000,4.45579,1.82664
4.60000,4.55551,1.86018
4.70000,4.65543,1.84567
4.80000,4.75568,1.97734
4.90000,4.85505,2.09499
5.00000,4.95511,2.21146
5.10000,5.05592,2.05866
5.20000,5.15525,2.47862
5.30000,5.25540,2.77702
5.40000,5.35558,3.29245
5.50000,5.45538,3.49251
5.60000,5.55504,3.65169
5.70000,5.65547,3.87239
5.80000,5.75582,3.98113
5.90000,5.85541,4.40638
6.00000,5.95540,4.49159
6.10000,6.05585,4.83598
6.20000,6.15462,4.78579
6.30000,6.25542,5.16031
6.40000,6.35597,5.00221
6.50000,6.45516,4.63144
6.60000,6.55542,4.98325
6.70000,6.65553,5.70036
6.80000,6.75536,6.14838
6.90000,6.85516,6.75250
7.00000,6.95545,7.28580
7.10000,7.05596,7.28024
7.20000,7.15551,7.16217
7.30000,7.25524,7.84859
7.40000,7.35603,7.81471
7.50000,7.45490,8.38549
7.60000,7.55527,9.05296
7.70000,7.65595,9.39638
7.80000,7.75527,9.65335
7.90000,7.85519,9.83984
8.00000,7.95563,10.48668
8.10000,8.05541,10.08141
8.20000,8.15509,10.74230
8.30000,8.25563,11.42113
8.40000,8.35588,12.19941
8.50000,8.45537,12.22259
8.60000,8.55526,11.77409
8.70000,8.65558,12.31731
8.80000,8.75511,12.19018
8.90000,8.85539,11.95017
9.00000,8.95574,12.74197
9.10000,9.05526,12.89860
9.20000,9.15526,13.83737
9.30000,9.25550,14.31137
9.40000,9.35530,14.33394
9.50000,9.45502,14.71811
9.60000,9.55573,15.12025
9.70000,9.65599,16.02389
9.80000,9.75509,15.33636
9.90000,9.85531,15.86619
10.00000,9.95563,16.97462
10.10000,10.05500,17.21737
10.20000,10.15547,16.88032
10.30000,10.25590,16.69610
10.40000,10.35532,16.85958
10.50000,10.45509,17.58177
10.60000,10.55556,17.57310
10.70000,10.65551,18.23588
10.80000,10.75535,18.82790
10.90000,10.85554,18.95678
11.00000,10.95588,19.04445
11.10000,11.05538,19.32455
11.20000,11.15498,20.09503
11.30000,11.25602,20.68751
11.40000,11.35507,21.09840
11.50000,11.45525,20.83790
11.60000,11.55603,21.46416
11.70000,11.65525,22.04144
11.80000,11.75523,21.97043
11.90000,11.85564,21.64500
12.00000,11.95531,21.82335
12.10000,12.05543,22.28802
12.20000,12.15564,22.40913
12.30000,12.25566,22.46196
12.40000,12.35545,22.92897
12.50000,12.45520,22.71899
12.60000,12.55591,22.98198
12.70000,12.65501,23.71207
12.80000,12.75532,23.85709
12.90000,12.85599,24.11432
13.00000,12.95515,24.81428
13.10000,13.05516,25.42577
13.20000,13.15568,26.40432
13.30000,13.25551,27.48841
13.40000,13.35516,27.85929
13.47200,13.42726,26.57797
13.48600,13.44133,25.30841
13.58600,13.54190,26.15646
13.68600,13.64112,26.51813
13.78600,13.74141,27.67054
13.88600,13.84189,28.71309
13.98600,13.94088,29.30581
14.08600,14.04142,29.98791
14.18600,14.14163,30.69774
14.28600,14.24146,31.37789
14.38600,14.34129,31.71372
14.48600,14.44136,31.86002
14.56900,14.52483,30.60543
14.66900,14.62405,29.85528
14.76900,14.72424,30.43905
14.86000,14.81587,31.69301
14.96000,14.91537,32.10514
15.00800,14.96322,30.84631
15.02400,14.97923,29.53428
15.03500,14.99019,28.23074
