Time,Extension,Load
(s),(mm),(N)
"16.29600","16.25212","29.83454"
"16.39600","16.35182","29.88197"
"16.49600","16.45235","28.77621"
"16.59600","16.55157","29.42994"
"16.69600","16.65182","29.82368"
"16.79600","16.75230","29.95295"
"16.89600","16.85181","31.03571"
"16.99600","16.95175","31.33999"
"17.09600","17.05219","32.33258"
"17.19600","17.15236","32.54530"
"17.29600","17.25156","32.94847"
"17.39600","17.35189","32.56384"
"17.49600","17.45224","32.41652"
"17.59200","17.54791","33.67358"
"17.67300","17.62885","34.93240"
"17.77300","17.72921","36.07827"
"17.86900","17.82450","37.33731"
"17.96900","17.92482","38.06950"
"18.06900","18.02528","38.47079"
"18.10300","18.05931","37.21820"
"18.20300","18.15855","37.38675"
"18.30300","18.25883","37.21333"
"18.40300","18.35915","37.61256"
"18.50300","18.45907","38.22470"
"18.60300","18.55847","38.01285"
"18.70300","18.65878","37.80001"
"18.80300","18.75929","38.10840"
"18.90300","18.85893","38.30472"
"19.00300","18.95865","37.19020"
"19.10300","19.05955","37.50716"
"19.20300","19.15827","38.27850"
"19.30300","19.25880","38.33837"
"19.40300","19.35933","38.25636"
"19.50300","19.45865","38.53635"
"19.60300","19.55888","37.45552"
"19.70300","19.65912","37.50879"
"19.80300","19.75898","37.02438"
"19.90300","19.85867","37.88742"
"20.00300","19.95897","37.59937"
"20.10300","20.05930","37.04527"
"20.20300","20.15898","36.91170"
"20.30300","20.25876","37.27293"
"20.40300","20.35938","37.41236"
"20.50300","20.45835","37.12423"
"20.60300","20.55886","38.15978"
"20.70300","20.65908","38.25079"
"20.80300","20.75900","38.16313"
"20.90300","20.85874","39.04997"
"21.00300","20.95917","39.52584"
"21.10300","21.05902","39.39294"
"21.20300","21.15842","40.25256"
"21.27900","21.23513","38.96793"
"21.37900","21.33540","37.77018"
"21.47900","21.43466","38.24526"
"21.57900","21.53466","37.09361"
"21.67900","21.63534","37.51266"
"21.77900","21.73475","37.57078"
"21.87900","21.83490","37.57536"
"21.97900","21.93525","37.50882"
"22.07900","22.03530","38.01637"
"22.17900","22.13465","38.33158"
"22.27900","22.23493","38.49864"
"22.37900","22.33515","38.84438"
"22.47900","22.43484","38.95381"
"22.57900","22.53506","39.32539"
"22.67900","22.63543","39.29586"
"22.77900","22.73478","40.17592"
"22.87900","22.83449","40.44436"
"22.97900","22.93523","40.34098"
"23.07900","23.03476","40.36793"
"23.17900","23.13479","40.42090"
"23.27900","23.23541","40.78063"
"23.37900","23.33492","40.38687"
"23.47900","23.43461","41.14219"
"23.57900","23.53485","41.67135"
"23.67900","23.63509","41.92225"
"23.77900","23.73482","41.92018"
"23.87900","23.83490","42.12402"
"23.97900","23.93546","42.15665"
"24.07900","24.03484","41.95407"
"24.17900","24.13470","41.67800"
"24.20700","24.16276","40.39449"
"24.30700","24.26319","41.06042"
"24.40700","24.36228","40.80102"
"24.49200","24.44780","39.53742"
"24.59200","24.54857","39.03114"
"24.69200","24.64794","38.90733"
"24.79200","24.74773","39.50362"
"24.89200","24.84777","39.80059"
"24.99200","24.94824","40.05413"
"25.09200","25.04761","39.75904"
"25.19200","25.14826","39.81509"
"25.29200","25.24843","39.71419"
"25.39200","25.34775","39.78347"
"25.49200","25.44761","38.75786"
"25.59200","25.54824","38.46248"
"25.69200","25.64725","38.51334"
"25.79200","25.74813","38.10501"
"25.89200","25.84837","37.55455"
"25.99200","25.94806","37.31803"
"26.09200","26.04773","36.98615"
"26.19200","26.14778","36.86098"
"26.29200","26.24830","37.07892"
"26.39200","26.34783","36.45374"
"26.49200","26.44799","36.09409"
"26.59200","26.54864","35.42532"
"26.69200","26.64769","35.37897"
"26.79200","26.74768","35.30092"
"26.83800","26.79409","34.02371"
"26.93800","26.89411","34.23672"
"27.03800","26.99348","34.76805"
"27.13800","27.09377","35.05052"
"27.23800","27.19432","35.27462"
"27.33800","27.29358","34.82040"
"27.43800","27.39400","34.90084"
"27.53800","27.49427","35.28930"
"27.63800","27.59361","35.52249"
"27.73800","27.69357","35.40006"
"27.83800","27.79402","34.22818"
"27.85400","27.81002","32.94650"
"27.95400","27.91006","33.47258"
"28.05400","28.00978","34.11933"
"28.15400","28.11011","34.28320"
"28.25400","28.21026","34.49282"
"28.35400","28.30964","34.84644"
"28.45400","28.40988","35.08529"
"28.55400","28.51011","35.33138"
"28.65400","28.60978","35.75312"
"28.75400","28.70980","35.96596"
"28.85400","28.81029","35.99546"
"28.95400","28.90957","35.68089"
"28.98900","28.94464","34.42428"
"29.01000","28.96555","33.14709"
"29.11000","29.06620","34.02260"
"29.21000","29.16648","33.87685"
"29.31000","29.26568","34.07774"
"29.41000","29.36554","34.09546"
"29.51000","29.46626","34.09675"
"29.61000","29.56558","34.46667"
"29.71000","29.66597","34.81165"
"29.81000","29.76615","35.19518"
"29.91000","29.86577","35.15331"
"30.01000","29.96571","34.19163"
"30.11000","30.06596","34.56081"
"30.21000","30.16619","34.44219"
"30.31000","30.26549","34.09772"
"30.41000","30.36611","33.83146"
"30.51000","30.46630","33.68246"
"30.61000","30.56581","34.25703"
"30.71000","30.66574","34.32660"
"30.81000","30.76646","34.05761"
"30.91000","30.86542","34.11611"
"31.01000","30.96598","34.85428"
"31.11000","31.06636","34.79185"
"31.21000","31.16586","35.11605"
"31.31000","31.26577","34.48820"
"31.41000","31.36617","33.41972"
"31.51000","31.46597","33.37946"
"31.61000","31.56578","33.65308"
